method,benign_family,n,false_positives,false_alarm_rate
aggregation_only_tests,benign_authorized_detail,108,0,0.0
aggregation_only_tests,benign_cross_jurisdiction_redacted,51,0,0.0
aggregation_only_tests,benign_emergency_audited,33,0,0.0
aggregation_only_tests,benign_small_cell_suppressed,42,0,0.0
audit_contract_tests,benign_authorized_detail,108,0,0.0
audit_contract_tests,benign_cross_jurisdiction_redacted,51,0,0.0
audit_contract_tests,benign_emergency_audited,33,0,0.0
audit_contract_tests,benign_small_cell_suppressed,42,0,0.0
basic_policy_aware_full,benign_authorized_detail,108,0,0.0
basic_policy_aware_full,benign_cross_jurisdiction_redacted,51,0,0.0
basic_policy_aware_full,benign_emergency_audited,33,0,0.0
basic_policy_aware_full,benign_small_cell_suppressed,42,0,0.0
consent_scope_contract_tests,benign_authorized_detail,108,0,0.0
consent_scope_contract_tests,benign_cross_jurisdiction_redacted,51,0,0.0
consent_scope_contract_tests,benign_emergency_audited,33,0,0.0
consent_scope_contract_tests,benign_small_cell_suppressed,42,0,0.0
dependent_policy_full,benign_authorized_detail,108,0,0.0
dependent_policy_full,benign_cross_jurisdiction_redacted,51,0,0.0
dependent_policy_full,benign_emergency_audited,33,0,0.0
dependent_policy_full,benign_small_cell_suppressed,42,0,0.0
dependent_without_consent,benign_authorized_detail,108,0,0.0
dependent_without_consent,benign_cross_jurisdiction_redacted,51,0,0.0
dependent_without_consent,benign_emergency_audited,33,0,0.0
dependent_without_consent,benign_small_cell_suppressed,42,0,0.0
dependent_without_enhanced_audit,benign_authorized_detail,108,0,0.0
dependent_without_enhanced_audit,benign_cross_jurisdiction_redacted,51,0,0.0
dependent_without_enhanced_audit,benign_emergency_audited,33,0,0.0
dependent_without_enhanced_audit,benign_small_cell_suppressed,42,0,0.0
dependent_without_jurisdiction_field,benign_authorized_detail,108,0,0.0
dependent_without_jurisdiction_field,benign_cross_jurisdiction_redacted,51,0,0.0
dependent_without_jurisdiction_field,benign_emergency_audited,33,0,0.0
dependent_without_jurisdiction_field,benign_small_cell_suppressed,42,0,0.0
dependent_without_purpose_field,benign_authorized_detail,108,0,0.0
dependent_without_purpose_field,benign_cross_jurisdiction_redacted,51,0,0.0
dependent_without_purpose_field,benign_emergency_audited,33,0,0.0
dependent_without_purpose_field,benign_small_cell_suppressed,42,0,0.0
dependent_without_threshold,benign_authorized_detail,108,0,0.0
dependent_without_threshold,benign_cross_jurisdiction_redacted,51,0,0.0
dependent_without_threshold,benign_emergency_audited,33,0,0.0
dependent_without_threshold,benign_small_cell_suppressed,42,0,0.0
field_policy_tests,benign_authorized_detail,108,0,0.0
field_policy_tests,benign_cross_jurisdiction_redacted,51,0,0.0
field_policy_tests,benign_emergency_audited,33,0,0.0
field_policy_tests,benign_small_cell_suppressed,42,0,0.0
jurisdiction_redaction_tests,benign_authorized_detail,108,0,0.0
jurisdiction_redaction_tests,benign_cross_jurisdiction_redacted,51,0,0.0
jurisdiction_redaction_tests,benign_emergency_audited,33,0,0.0
jurisdiction_redaction_tests,benign_small_cell_suppressed,42,0,0.0
keyword_sensitive_privacy_linter,benign_authorized_detail,108,75,0.6944
keyword_sensitive_privacy_linter,benign_cross_jurisdiction_redacted,51,34,0.6667
keyword_sensitive_privacy_linter,benign_emergency_audited,33,21,0.6364
keyword_sensitive_privacy_linter,benign_small_cell_suppressed,42,32,0.7619
object_policy_tests,benign_authorized_detail,108,0,0.0
object_policy_tests,benign_cross_jurisdiction_redacted,51,0,0.0
object_policy_tests,benign_emergency_audited,33,0,0.0
object_policy_tests,benign_small_cell_suppressed,42,0,0.0
pairwise_dependency_suite,benign_authorized_detail,108,0,0.0
pairwise_dependency_suite,benign_cross_jurisdiction_redacted,51,0,0.0
pairwise_dependency_suite,benign_emergency_audited,33,0,0.0
pairwise_dependency_suite,benign_small_cell_suppressed,42,0,0.0
purpose_field_contract_tests,benign_authorized_detail,108,0,0.0
purpose_field_contract_tests,benign_cross_jurisdiction_redacted,51,0,0.0
purpose_field_contract_tests,benign_emergency_audited,33,0,0.0
purpose_field_contract_tests,benign_small_cell_suppressed,42,0,0.0
risk_heuristic_privacy_linter,benign_authorized_detail,108,21,0.1944
risk_heuristic_privacy_linter,benign_cross_jurisdiction_redacted,51,26,0.5098
risk_heuristic_privacy_linter,benign_emergency_audited,33,18,0.5455
risk_heuristic_privacy_linter,benign_small_cell_suppressed,42,16,0.381
role_matrix,benign_authorized_detail,108,0,0.0
role_matrix,benign_cross_jurisdiction_redacted,51,0,0.0
role_matrix,benign_emergency_audited,33,0,0.0
role_matrix,benign_small_cell_suppressed,42,0,0.0
schema_validation,benign_authorized_detail,108,0,0.0
schema_validation,benign_cross_jurisdiction_redacted,51,0,0.0
schema_validation,benign_emergency_audited,33,0,0.0
schema_validation,benign_small_cell_suppressed,42,0,0.0
