method,scenario_id,domain,violation_family,risk,expected_behavior
pairwise_dependency_suite,health_004_2_compound_violation,health,compound_consent_purpose_scope,116.0,"apply consent, purpose, and jurisdiction restrictions jointly"
pairwise_dependency_suite,health_009_2_compound_violation,health,compound_consent_purpose_scope,116.0,"apply consent, purpose, and jurisdiction restrictions jointly"
pairwise_dependency_suite,health_002_2_compound_violation,health,compound_consent_purpose_scope,108.0,"apply consent, purpose, and jurisdiction restrictions jointly"
pairwise_dependency_suite,benefits_004_1_compound_violation,benefits,compound_consent_purpose_scope,104.4,"apply consent, purpose, and jurisdiction restrictions jointly"
pairwise_dependency_suite,benefits_009_1_compound_violation,benefits,compound_consent_purpose_scope,104.4,"apply consent, purpose, and jurisdiction restrictions jointly"
dependent_without_consent,health_004_2_compound_violation,health,compound_consent_purpose_scope,116.0,"apply consent, purpose, and jurisdiction restrictions jointly"
dependent_without_consent,health_009_2_compound_violation,health,compound_consent_purpose_scope,116.0,"apply consent, purpose, and jurisdiction restrictions jointly"
dependent_without_consent,health_014_2_compound_violation,health,compound_consent_purpose_scope,116.0,"apply consent, purpose, and jurisdiction restrictions jointly"
dependent_without_consent,health_003_2_compound_violation,health,compound_consent_purpose_scope,112.0,"apply consent, purpose, and jurisdiction restrictions jointly"
dependent_without_consent,health_008_2_compound_violation,health,compound_consent_purpose_scope,112.0,"apply consent, purpose, and jurisdiction restrictions jointly"
dependent_without_jurisdiction_field,health_004_2_compound_violation,health,compound_consent_purpose_scope,116.0,"apply consent, purpose, and jurisdiction restrictions jointly"
dependent_without_jurisdiction_field,health_009_2_compound_violation,health,compound_consent_purpose_scope,116.0,"apply consent, purpose, and jurisdiction restrictions jointly"
dependent_without_jurisdiction_field,health_014_2_compound_violation,health,compound_consent_purpose_scope,116.0,"apply consent, purpose, and jurisdiction restrictions jointly"
dependent_without_jurisdiction_field,health_003_2_compound_violation,health,compound_consent_purpose_scope,112.0,"apply consent, purpose, and jurisdiction restrictions jointly"
dependent_without_jurisdiction_field,health_008_2_compound_violation,health,compound_consent_purpose_scope,112.0,"apply consent, purpose, and jurisdiction restrictions jointly"
dependent_without_purpose_field,health_003_2_purpose_violation,health,purpose_conditioned_field,71.0,suppress purpose-restricted field
dependent_without_purpose_field,health_007_2_purpose_violation,health,purpose_conditioned_field,71.0,suppress purpose-restricted field
dependent_without_purpose_field,health_002_2_purpose_violation,health,purpose_conditioned_field,69.0,suppress purpose-restricted field
dependent_without_purpose_field,health_006_2_purpose_violation,health,purpose_conditioned_field,69.0,suppress purpose-restricted field
dependent_without_purpose_field,health_001_2_purpose_violation,health,purpose_conditioned_field,67.0,suppress purpose-restricted field
dependent_without_threshold,health_003_2_threshold_violation,health,aggregation_threshold_leak,67.5,suppress small-cell aggregate
dependent_without_threshold,health_004_2_threshold_violation,health,aggregation_threshold_leak,64.0,suppress small-cell aggregate
dependent_without_threshold,benefits_004_1_threshold_violation,benefits,aggregation_threshold_leak,60.75,suppress small-cell aggregate
dependent_without_threshold,housing_000_5_threshold_violation,housing,aggregation_threshold_leak,60.75,suppress small-cell aggregate
dependent_without_threshold,housing_005_5_threshold_violation,housing,aggregation_threshold_leak,60.75,suppress small-cell aggregate
dependent_without_enhanced_audit,health_002_2_emergency_audit_violation,health,emergency_audit_omission,54.0,emit enhanced emergency audit marker
dependent_without_enhanced_audit,health_005_2_emergency_audit_violation,health,emergency_audit_omission,54.0,emit enhanced emergency audit marker
dependent_without_enhanced_audit,health_008_2_emergency_audit_violation,health,emergency_audit_omission,54.0,emit enhanced emergency audit marker
dependent_without_enhanced_audit,health_011_2_emergency_audit_violation,health,emergency_audit_omission,54.0,emit enhanced emergency audit marker
dependent_without_enhanced_audit,health_014_2_emergency_audit_violation,health,emergency_audit_omission,54.0,emit enhanced emergency audit marker
