method,violation_prevalence,alerts_per_10000_changes,expected_true_alerts,expected_false_alerts,positive_predictive_value
risk_heuristic_privacy_linter,0.01,3499.5,72.1,3427.4,0.0206
risk_heuristic_privacy_linter,0.05,3649.3,360.4,3288.9,0.0988
risk_heuristic_privacy_linter,0.1,3836.7,720.9,3115.8,0.1879
risk_heuristic_privacy_linter,0.2,4211.4,1441.8,2769.6,0.3424
keyword_sensitive_privacy_linter,0.01,6948.8,95.1,6853.8,0.0137
keyword_sensitive_privacy_linter,0.05,7052.1,475.3,6576.8,0.0674
keyword_sensitive_privacy_linter,0.1,7181.3,950.6,6230.7,0.1324
keyword_sensitive_privacy_linter,0.2,7439.6,1901.2,5538.4,0.2556
pairwise_dependency_suite,0.01,89.2,89.2,0.0,1.0
pairwise_dependency_suite,0.05,446.2,446.2,0.0,1.0
pairwise_dependency_suite,0.1,892.4,892.4,0.0,1.0
pairwise_dependency_suite,0.2,1784.8,1784.8,0.0,1.0
dependent_policy_full,0.01,100.0,100.0,0.0,1.0
dependent_policy_full,0.05,500.0,500.0,0.0,1.0
dependent_policy_full,0.1,1000.0,1000.0,0.0,1.0
dependent_policy_full,0.2,2000.0,2000.0,0.0,1.0
basic_policy_aware_full,0.01,0.0,0.0,0.0,0.0
basic_policy_aware_full,0.05,0.0,0.0,0.0,0.0
basic_policy_aware_full,0.1,0.0,0.0,0.0,0.0
basic_policy_aware_full,0.2,0.0,0.0,0.0,0.0
