scheme,method,risk_weighted_recall
baseline,risk_heuristic_privacy_linter,0.7489
baseline,keyword_sensitive_privacy_linter,0.9523
baseline,pairwise_dependency_suite,0.8542
baseline,dependent_policy_full,1.0
baseline,dependent_without_consent,0.486
baseline,dependent_without_jurisdiction_field,0.5635
baseline,dependent_without_threshold,0.9136
baseline,dependent_without_enhanced_audit,0.9247
equal_family,risk_heuristic_privacy_linter,0.7235
equal_family,keyword_sensitive_privacy_linter,0.9504
equal_family,pairwise_dependency_suite,0.8945
equal_family,dependent_policy_full,1.0
equal_family,dependent_without_consent,0.5843
equal_family,dependent_without_jurisdiction_field,0.6279
equal_family,dependent_without_threshold,0.8866
equal_family,dependent_without_enhanced_audit,0.8895
consent_heavy,risk_heuristic_privacy_linter,0.7734
consent_heavy,keyword_sensitive_privacy_linter,0.9547
consent_heavy,pairwise_dependency_suite,0.8436
consent_heavy,dependent_policy_full,1.0
consent_heavy,dependent_without_consent,0.3724
consent_heavy,dependent_without_jurisdiction_field,0.5843
consent_heavy,dependent_without_threshold,0.9338
consent_heavy,dependent_without_enhanced_audit,0.9423
jurisdiction_heavy,risk_heuristic_privacy_linter,0.7501
jurisdiction_heavy,keyword_sensitive_privacy_linter,0.9495
jurisdiction_heavy,pairwise_dependency_suite,0.8442
jurisdiction_heavy,dependent_policy_full,1.0
jurisdiction_heavy,dependent_without_consent,0.5122
jurisdiction_heavy,dependent_without_jurisdiction_field,0.4631
jurisdiction_heavy,dependent_without_threshold,0.929
jurisdiction_heavy,dependent_without_enhanced_audit,0.9381
audit_heavy,risk_heuristic_privacy_linter,0.7257
audit_heavy,keyword_sensitive_privacy_linter,0.9519
audit_heavy,pairwise_dependency_suite,0.8644
audit_heavy,dependent_policy_full,1.0
audit_heavy,dependent_without_consent,0.522
audit_heavy,dependent_without_jurisdiction_field,0.5941
audit_heavy,dependent_without_threshold,0.9197
audit_heavy,dependent_without_enhanced_audit,0.8599
threshold_heavy,risk_heuristic_privacy_linter,0.7368
threshold_heavy,keyword_sensitive_privacy_linter,0.9502
threshold_heavy,pairwise_dependency_suite,0.8658
threshold_heavy,dependent_policy_full,1.0
threshold_heavy,dependent_without_consent,0.5269
threshold_heavy,dependent_without_jurisdiction_field,0.5982
threshold_heavy,dependent_without_threshold,0.8409
threshold_heavy,dependent_without_enhanced_audit,0.9307
